Kernel (domain);Kernel (Y);Kernel (pairwise);Setting;Test AUC
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Linear;Setting 1;0.6898631404225546
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Linear;Setting 2;0.6871842449578829
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Linear;Setting 3;0.6869894920911395
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Linear;Setting 4;0.6841860939244448
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Poly2D;Setting 1;0.9215016140676564
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Poly2D;Setting 2;0.911666392125171
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Poly2D;Setting 3;0.9114898880897312
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Poly2D;Setting 4;0.8539008727952896
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Kronecker;Setting 1;0.9232026290729822
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Kronecker;Setting 2;0.9161153949633808
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Kronecker;Setting 3;0.9159460195184418
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Kronecker;Setting 4;0.8637328400282988
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Symmetric;Setting 1;0.9597642723205075
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Symmetric;Setting 2;0.9299235417741408
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Symmetric;Setting 3;0.9299261666134723
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;Symmetric;Setting 4;0.8683465444862879
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;MLPK;Setting 1;0.8313050867741947
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;MLPK;Setting 2;0.668369540083531
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;MLPK;Setting 3;0.6692963825743972
Kd_Tanimoto-circular.txt;Kd_Tanimoto-circular.txt;MLPK;Setting 4;0.5927273689609631
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Linear;Setting 1;0.7126023370949149
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Linear;Setting 2;0.699003886441057
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Linear;Setting 3;0.6987678853991452
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Linear;Setting 4;0.6820851789280649
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Poly2D;Setting 1;0.8982315429540256
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Poly2D;Setting 2;0.8313999878674894
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Poly2D;Setting 3;0.8313865780026489
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Poly2D;Setting 4;0.7598677712315787
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Kronecker;Setting 1;0.8980740456505429
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Kronecker;Setting 2;0.8388439408116093
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Kronecker;Setting 3;0.8385449833768361
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Kronecker;Setting 4;0.7772869058737363
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Symmetric;Setting 1;0.9450362955373094
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Symmetric;Setting 2;0.8473053303139897
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Symmetric;Setting 3;0.8473274063591307
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;Symmetric;Setting 4;0.7832397500299806
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;MLPK;Setting 1;0.9150283523226472
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;MLPK;Setting 2;0.7841564408597745
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;MLPK;Setting 3;0.7846144403473428
Kd_Tanimoto-circular.txt;Kd_Tanimoto-estate.txt;MLPK;Setting 4;0.690201200478484
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Linear;Setting 1;0.7008032613864007
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Linear;Setting 2;0.6897187391278404
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Linear;Setting 3;0.6889659303838902
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Linear;Setting 4;0.6716520888153092
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Poly2D;Setting 1;0.8623789953503923
