Setting;Regularization;Iteration;Train AUC;Test AUC
Setting 1;0.0001;1;0.4755667148838897;0.4759965279222609
Setting 1;0.0001;2;0.7131557507730294;0.706727750256072
Setting 1;0.0001;3;0.8084689387685723;0.7953465472650847
Setting 1;0.0001;4;0.8461235724344773;0.826270480089066
Setting 1;0.0001;5;0.8707751005622882;0.841891486486462
Setting 1;0.0001;6;0.8805313735508674;0.8488694941774375
Setting 1;0.0001;7;0.8889175405383042;0.8572358786938752
Setting 1;0.0001;8;0.894517746408274;0.863327405410503
Setting 1;0.0001;9;0.9028880751472361;0.8768659646799494
Setting 1;0.0001;10;0.9097203921108286;0.8797664251827029
Setting 1;0.0001;11;0.9156566318057444;0.883382070465298
Setting 1;0.0001;12;0.9156172783820553;0.8828307318492267
Setting 1;0.0001;13;0.9173310510989748;0.8826257288083421
Setting 1;0.0001;14;0.9215805791913053;0.8833651352734788
Setting 1;0.0001;15;0.9266603540143156;0.8859094297946354
Setting 1;0.0001;16;0.9278091890108012;0.8853766617429838
Setting 1;0.0001;17;0.9311114124425431;0.889530599002459
Setting 1;0.0001;18;0.9315599380930615;0.8874697024512237
Setting 1;0.0001;19;0.9323146118651946;0.8896167104552822
Setting 1;0.0001;20;0.9360521889684009;0.8926628826567464
Setting 1;0.0001;21;0.9395279107347676;0.8943751177695407
Setting 1;0.0001;22;0.9423436862593328;0.892407528310571
Setting 1;0.0001;23;0.9420901442729602;0.8894202658643408
Setting 1;0.0001;24;0.9453659451110432;0.894348206804858
Setting 1;0.0001;25;0.9462170910742694;0.8936282612736681
Setting 1;0.0001;26;0.9481980579577144;0.8977954813928214
Setting 1;0.0001;27;0.9493404720993306;0.8989595032682921
Setting 1;0.0001;28;0.9514335764241307;0.9010614476718017
Setting 1;0.0001;29;0.9535380441103084;0.9007743307555621
Setting 1;0.0001;30;0.9553407871867416;0.9036474260234661
Setting 1;0.0001;31;0.956613116695116;0.904442834914769
Setting 1;0.0001;32;0.9579369357139061;0.9073136951734522
Setting 1;0.0001;33;0.9579509087271076;0.9073503820321249
