Kernel (drug);Kernel (protein);Kernel (pairwise);Setting;Iteration;Train AUC;Test AUC
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;1;0.4198541419567553;0.42338180335444
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;2;0.7353962091037992;0.7327337360832062
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;3;0.8259436979099761;0.8141447828070735
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;4;0.8411279334572965;0.8221163520361207
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;5;0.8625232535809477;0.8460825557893734
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;6;0.8684249523479045;0.8507321199716609
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;7;0.8778700529273877;0.8595259908858868
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;8;0.8777480084550622;0.8593182077115813
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;9;0.8901926044669103;0.8672711155221754
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;10;0.8949394195907873;0.8691939684551162
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;11;0.8994634927009643;0.8683196619212393
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;12;0.9027320517290238;0.8685972936763957
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;13;0.9088115989492949;0.8748660584413118
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;14;0.9132648371550002;0.877658130082261
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;15;0.9129194970746946;0.8772285358708986
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;16;0.9121475287236795;0.8745276453378343
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;17;0.9164292302896426;0.8765043202001406
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;18;0.9200072254538288;0.8806012192974694
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;19;0.9217924296569346;0.8828025580134802
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;20;0.9244358203262792;0.8858480760659041
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;21;0.9262639584918364;0.8864690815547597
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;22;0.925801352883767;0.8854181729508281
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;23;0.92560848399171;0.8840569614813423
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;24;0.9271084791477601;0.8854722674422936
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;25;0.9274834532976333;0.8841160529446428
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;26;0.9281784930131998;0.8836455199058462
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;27;0.9292578445882196;0.8862952959597393
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;28;0.9307048750309143;0.8882634668845225
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;29;0.9306875856944025;0.8887059260270095
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;30;0.9315991101307459;0.8895106565421355
