Kernel (domain);Kernel (pairwise);Setting;Iteration;Train AUC;Test AUC
K_domain_minmax;Linear;Setting 1;1;0.8790460241008322;0.8628167474899255
K_domain_minmax;Linear;Setting 1;2;0.9084269870268874;0.8704323475172461
K_domain_minmax;Linear;Setting 1;3;0.9717055121888206;0.8986920292329759
K_domain_minmax;Linear;Setting 1;4;0.9914143091771392;0.9085957243357694
K_domain_minmax;Linear;Setting 1;5;0.9968559117164;0.9351478724130865
K_domain_minmax;Linear;Setting 1;6;0.9990934507003266;0.941807253602896
K_domain_minmax;Linear;Setting 1;7;0.9998846629389728;0.9447612867973499
K_domain_minmax;Linear;Setting 1;8;0.9999723191053534;0.951096236595861
K_domain_minmax;Linear;Setting 1;9;0.9999769325877945;0.9485007854654737
K_domain_minmax;Linear;Setting 1;10;0.9999769325877945;0.9410900894747627
K_domain_minmax;Linear;Setting 1;11;0.9999769325877945;0.9393996311727341
K_domain_minmax;Linear;Setting 1;12;0.999974625846574;0.9347039136670993
K_domain_minmax;Linear;Setting 1;13;0.9999792393290151;0.9373164401338706
K_domain_minmax;Linear;Setting 1;14;0.9999884662938973;0.9367017280240421
K_domain_minmax;Linear;Setting 1;15;0.9999907730351179;0.9346185369851786
K_domain_minmax;Linear;Setting 1;16;0.9999907730351179;0.9306399836076771
K_domain_minmax;Linear;Setting 1;17;0.9999907730351179;0.9259954921111946
K_domain_minmax;Linear;Setting 1;18;0.9999953865175589;0.928881223960112
K_domain_minmax;Linear;Setting 1;19;0.9999953865175589;0.9225804248343692
K_domain_minmax;Linear;Setting 1;20;0.9999953865175589;0.9175432006010519
K_domain_minmax;Linear;Setting 1;21;0.9999953865175589;0.9087323270268424
K_domain_minmax;Linear;Setting 1;22;0.9999953865175589;0.9143159620244519
K_domain_minmax;Linear;Setting 1;23;0.9999953865175589;0.9154941602349567
K_domain_minmax;Linear;Setting 1;24;0.9999953865175589;0.9101154292739567
K_domain_minmax;Linear;Setting 1;25;0.9999953865175589;0.9011508776722902
K_domain_minmax;Linear;Setting 1;26;0.9999953865175589;0.906375930605833
K_domain_minmax;Linear;Setting 1;27;0.9999953865175589;0.931032716344512
K_domain_minmax;Linear;Setting 1;28;0.9999953865175589;0.9262345468205724
K_domain_minmax;Linear;Setting 1;29;0.9999953865175589;0.9209924185506455
K_domain_minmax;Linear;Setting 1;30;0.9999953865175589;0.9218291100334677
K_domain_minmax;Linear;Setting 1;31;0.9999953865175589;0.9320060105184073
K_domain_minmax;Linear;Setting 1;32;0.9999953865175589;0.931032716344512
K_domain_minmax;Linear;Setting 1;33;0.9999953865175589;0.921743733351547
K_domain_minmax;Linear;Setting 1;34;0.9999953865175589;0.9306229082712929
K_domain_minmax;Linear;Setting 1;35;0.9999953865175589;0.9311522436992009
K_domain_minmax;Linear;Setting 1;36;0.9999953865175589;0.9254149306741343
