Kernel (domain);Kernel (pairwise);Setting;Iteration;Train AUC;Test AUC
Gaussian;Linear;Setting 1;1;0.48497417509032603;0.47800480924309086
Gaussian;Linear;Setting 1;2;0.6509193228209151;0.6520922108868714
Gaussian;Linear;Setting 1;3;0.7359128762610737;0.7316823998136606
Gaussian;Linear;Setting 1;4;0.7726217088310616;0.7637571719314591
Gaussian;Linear;Setting 1;5;0.8023476024394987;0.7874021191364007
Gaussian;Linear;Setting 1;6;0.8279668395522;0.8127975303226105
Gaussian;Linear;Setting 1;7;0.8372222282254144;0.8183335925154541
Gaussian;Linear;Setting 1;8;0.8454751097187728;0.8313144743820544
Gaussian;Linear;Setting 1;9;0.8536699171849288;0.8357927339820357
Gaussian;Linear;Setting 1;10;0.8543672991748716;0.8354356738271104
Gaussian;Linear;Setting 1;11;0.8595380542301985;0.8396476662404309
Gaussian;Linear;Setting 1;12;0.8644249870475036;0.8416451794502305
Gaussian;Linear;Setting 1;13;0.8676669781866275;0.8445596541039169
Gaussian;Linear;Setting 1;14;0.8718448799263607;0.8449165105349044
Gaussian;Linear;Setting 1;15;0.8750465277861388;0.8479329829734323
Gaussian;Linear;Setting 1;16;0.8774638814518633;0.8461774258937199
Gaussian;Linear;Setting 1;17;0.879409676759279;0.8490131272914698
Gaussian;Linear;Setting 1;18;0.8794435544178867;0.8490537362630647
Gaussian;Linear;Setting 1;19;0.8804818522024647;0.8488620999456057
Gaussian;Linear;Setting 1;20;0.8837049058606992;0.8499954162114003
Gaussian;Linear;Setting 1;21;0.8844211087720907;0.8508808683529123
Gaussian;Linear;Setting 1;22;0.8873959593860834;0.854823877260402
Gaussian;Linear;Setting 1;23;0.8867675531592641;0.8553943042861479
Gaussian;Linear;Setting 1;24;0.8887787725950819;0.8557809044120493
Gaussian;Linear;Setting 1;25;0.8903289103093753;0.8566542689332539
Gaussian;Linear;Setting 1;26;0.8903378648169936;0.856664930485997
Gaussian;Linear;Setting 1;27;0.8924545911159272;0.8595394073399019
Gaussian;Linear;Setting 1;28;0.8918133084991332;0.85963807763376
Gaussian;Linear;Setting 1;29;0.8941669041508133;0.8638809002696626
Gaussian;Linear;Setting 1;30;0.8964537180994294;0.8661494342246708
Gaussian;Linear;Setting 1;31;0.8978633399797812;0.8682380799426314
Gaussian;Linear;Setting 1;32;0.8976365427339957;0.8662227069342875
Gaussian;Linear;Setting 1;33;0.8984369632694874;0.8665221132148249
Gaussian;Linear;Setting 1;34;0.8985018046006862;0.8665421460687053
Gaussian;Linear;Setting 1;35;0.8993006755812607;0.8689229319134227
Gaussian;Linear;Setting 1;36;0.8996288452582372;0.8687587983275623
Gaussian;Linear;Setting 1;37;0.900058140534648;0.8688974664212019
Gaussian;Linear;Setting 1;38;0.9012393676192334;0.8693970654245844
Gaussian;Linear;Setting 1;39;0.901253032499542;0.870449571195065
Gaussian;Linear;Setting 1;40;0.9015505950386872;0.8697279130995171
Gaussian;Linear;Setting 1;41;0.9020289961218069;0.8689233393612983
Gaussian;Linear;Setting 1;42;0.9022353131882235;0.8692138496965531
Gaussian;Linear;Setting 1;43;0.9038061162057034;0.8718264054744697
Gaussian;Linear;Setting 1;44;0.903238286605842;0.8708758974888309
Gaussian;Linear;Setting 1;45;0.9041359108584115;0.8704947300012699
Gaussian;Linear;Setting 1;46;0.9050040387160547;0.8699887476478374
Gaussian;Linear;Setting 1;47;0.9055684675228236;0.8706937682884677
Gaussian;Linear;Setting 1;48;0.9047100346680688;0.8694606272931675
Gaussian;Linear;Setting 1;49;0.9056241692225866;0.8695724717350013
Gaussian;Linear;Setting 1;50;0.9052320152691222;0.8679857338917181
Gaussian;Linear;Setting 1;51;0.9052271883369911;0.8679599967675802
Gaussian;Linear;Setting 1;52;0.9053753079603268;0.8677957952737405
Gaussian;Linear;Setting 1;53;0.9053640496896461;0.8668654559579405
Gaussian;Linear;Setting 1;54;0.9055797189370668;0.8676472805231088
Gaussian;Linear;Setting 1;55;0.9054319832742413;0.8670993989464756
Gaussian;Linear;Setting 1;56;0.9057906572424839;0.8686478366894589
Gaussian;Linear;Setting 1;57;0.9057448151001137;0.8687008049132781
Gaussian;Linear;Setting 1;58;0.9056347898445627;0.8682957338170192
Gaussian;Linear;Setting 1;59;0.90563865001898;0.8684973526074287
Gaussian;Linear;Setting 1;60;0.9055628521003586;0.8686836241945265
Gaussian;Linear;Setting 1;61;0.9056743514900123;0.8673516091814304
Gaussian;Linear;Setting 1;62;0.9062866108060804;0.8680102486722292
Gaussian;Linear;Setting 1;63;0.9067814056317078;0.8683690065266358
Gaussian;Linear;Setting 1;64;0.9068384169110689;0.8682318324085398
Gaussian;Linear;Setting 1;65;0.9069120413389438;0.8673959530918842
Gaussian;Linear;Setting 1;66;0.9070344698902693;0.8674231162835864
Gaussian;Linear;Setting 1;67;0.9081162306333403;0.8687999505629911
Gaussian;Linear;Setting 1;68;0.9084683018520912;0.8692994816583943
Gaussian;Linear;Setting 1;69;0.9086588285425163;0.869516583468074
Gaussian;Linear;Setting 1;70;0.908828868197135;0.8701913850579357
Gaussian;Linear;Setting 1;71;0.9092383552250703;0.8707897901711349
Gaussian;Linear;Setting 1;72;0.9089354035259039;0.8689340688220206
Gaussian;Linear;Setting 1;73;0.9088586594188818;0.86812419826142
Gaussian;Linear;Setting 1;74;0.9096625835940311;0.8676882290345997
Gaussian;Linear;Setting 1;75;0.9100399687807195;0.86807584778019
Gaussian;Linear;Setting 1;76;0.9100478742533716;0.8680836571978043
Gaussian;Linear;Setting 1;77;0.9101148205109401;0.8685715081207757
Gaussian;Linear;Setting 1;78;0.9098740567015878;0.8688109516556305
Gaussian;Linear;Setting 1;79;0.9103808434367285;0.868048209232633
Gaussian;Linear;Setting 1;80;0.9096655798573;0.8669798129950067
Gaussian;Linear;Setting 1;81;0.9094856669324131;0.8669474887968811
Gaussian;Linear;Setting 1;82;0.9093499231791009;0.8671946059333918
Gaussian;Linear;Setting 1;83;0.9098940500738808;0.8675309541546441
Gaussian;Linear;Setting 1;84;0.9100075172611505;0.8677505685595563
Gaussian;Linear;Setting 1;85;0.9102923131133238;0.8683560361025981
Gaussian;Linear;Setting 1;86;0.909798334203781;0.86691292363544
Gaussian;Linear;Setting 1;87;0.9094728248246268;0.8671833332088353
Gaussian;Linear;Setting 1;88;0.9096408281172527;0.8671762028710135
Gaussian;Linear;Setting 1;89;0.9100152376099852;0.8683559002866396
Gaussian;Linear;Setting 1;90;0.9097684058532806;0.8677008599187414
Gaussian;Linear;Setting 1;91;0.9102115785595684;0.8680041369540963
Gaussian;Linear;Setting 1;92;0.9101978656841958;0.8679261106859317
Gaussian;Linear;Setting 1;93;0.9099457544704728;0.8672115150202264
Gaussian;Linear;Setting 1;94;0.9104406178604771;0.8679850548119254
Gaussian;Linear;Setting 1;95;0.9103635857830722;0.8677570877255648
Gaussian;Linear;Setting 1;96;0.9105170260020526;0.8679151095932923
